home,visitor,game_date,Schedule Type,League,Schedule
Detroit Pistons,Chicago Bulls,2021-03-21,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Philadelphia 76ers,2021-03-21,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Los Angeles Lakers,2021-03-21,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Dallas Mavericks,2021-03-21,basic - high - 25_more_games - monthly - 0,NBA,
Cleveland Cavaliers,Sacramento Kings,2021-03-22,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Oklahoma City Thunder,2021-03-22,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Charlotte Hornets,2021-03-22,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Utah Jazz,2021-03-22,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Toronto Raptors,2021-03-22,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Boston Celtics,2021-03-22,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,Indiana Pacers,2021-05-21,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Atlanta Hawks,2021-03-22,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Denver Nuggets,2021-03-23,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Los Angeles Lakers,2021-03-23,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Washington Wizards,2021-03-23,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Phoenix Suns,2021-03-23,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Philadelphia 76ers,2021-03-23,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Brooklyn Nets,2021-03-23,basic - high - 25_more_games - monthly - 0,NBA,
Indiana Pacers,Detroit Pistons,2021-03-24,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,Boston Celtics,2021-03-24,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Denver Nuggets,2021-03-24,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Cleveland Cavaliers,2021-03-24,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Charlotte Hornets,2021-03-24,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Dallas Mavericks,2021-03-24,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Memphis Grizzlies,2021-03-24,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Phoenix Suns,2021-03-24,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Los Angeles Clippers,2021-03-24,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Atlanta Hawks,2021-03-24,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Brooklyn Nets,2021-03-24,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Portland Trail Blazers,2021-03-25,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Washington Wizards,2021-03-25,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Los Angeles Clippers,2021-03-25,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Philadelphia 76ers,2021-03-25,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Golden State Warriors,2021-03-25,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,Brooklyn Nets,2021-03-26,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,Boston Celtics,2021-03-26,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Phoenix Suns,2021-03-26,basic - high - 25_more_games - monthly - 0,NBA,
Charlotte Hornets,Miami Heat,2021-03-26,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Houston Rockets,2021-03-26,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Denver Nuggets,2021-03-26,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Portland Trail Blazers,2021-03-26,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,Indiana Pacers,2021-03-26,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Memphis Grizzlies,2021-03-26,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Atlanta Hawks,2021-03-26,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Cleveland Cavaliers,2021-03-26,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,New York Knicks,2021-03-27,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Houston Rockets,2021-03-27,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Detroit Pistons,2021-03-27,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Chicago Bulls,2021-03-27,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Dallas Mavericks,2021-03-27,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Boston Celtics,2021-03-27,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Memphis Grizzlies,2021-03-27,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Philadelphia 76ers,2021-03-27,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Cleveland Cavaliers,2021-03-27,basic - high - 25_more_games - monthly - 0,NBA,
Charlotte Hornets,Phoenix Suns,2021-03-28,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Portland Trail Blazers,2021-03-28,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Atlanta Hawks,2021-03-28,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Orlando Magic,2021-03-28,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Indiana Pacers,2021-03-29,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,New Orleans Pelicans,2021-03-29,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,Minnesota Timberwolves,2021-03-29,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Miami Heat,2021-03-29,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,Toronto Raptors,2021-03-29,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Memphis Grizzlies,2021-03-29,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Dallas Mavericks,2021-03-29,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Sacramento Kings,2021-03-29,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Cleveland Cavaliers,2021-03-29,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Chicago Bulls,2021-03-29,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Milwaukee Bucks,2021-03-29,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Charlotte Hornets,2021-03-30,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Philadelphia 76ers,2021-03-30,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Orlando Magic,2021-03-30,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Atlanta Hawks,2021-03-29,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,Portland Trail Blazers,2021-03-31,basic - high - 25_more_games - monthly - 0,NBA,
Indiana Pacers,Miami Heat,2021-03-31,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Dallas Mavericks,2021-03-31,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,Houston Rockets,2021-03-31,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Utah Jazz,2021-03-31,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,New York Knicks,2021-03-31,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Toronto Raptors,2021-03-31,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Sacramento Kings,2021-03-31,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Milwaukee Bucks,2021-03-31,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Chicago Bulls,2021-03-31,basic - high - 25_more_games - monthly - 0,NBA,
Cleveland Cavaliers,Philadelphia 76ers,2021-04-01,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,Washington Wizards,2021-04-01,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,Charlotte Hornets,2021-04-01,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Golden State Warriors,2021-04-01,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Orlando Magic,2021-04-01,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Atlanta Hawks,2021-04-01,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Denver Nuggets,2021-04-01,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Golden State Warriors,2021-04-02,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Houston Rockets,2021-04-02,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Dallas Mavericks,2021-04-02,basic - high - 25_more_games - monthly - 0,NBA,
Indiana Pacers,Charlotte Hornets,2021-04-02,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Minnesota Timberwolves,2021-04-02,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Atlanta Hawks,2021-04-02,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Chicago Bulls,2021-05-23,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Oklahoma City Thunder,2021-04-02,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Milwaukee Bucks,2021-04-02,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Los Angeles Lakers,2021-04-02,basic - high - 25_more_games - monthly - 0,NBA,
Washington Wizards,Dallas Mavericks,2021-04-03,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,New York Knicks,2021-04-03,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Cleveland Cavaliers,2021-04-03,basic - high - 25_more_games - monthly - 0,NBA,
Philadelphia 76ers,Minnesota Timberwolves,2021-04-03,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Indiana Pacers,2021-04-03,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Orlando Magic,2021-04-03,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Oklahoma City Thunder,2021-04-03,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Milwaukee Bucks,2021-05-18,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Brooklyn Nets,2021-04-04,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Los Angeles Lakers,2021-04-04,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Charlotte Hornets,2021-04-04,basic - high - 25_more_games - monthly - 0,NBA,
Philadelphia 76ers,Memphis Grizzlies,2021-04-04,basic - high - 25_more_games - monthly - 0,NBA,
Atlanta Hawks,Golden State Warriors,2021-04-04,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,New Orleans Pelicans,2021-04-04,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Orlando Magic,2021-04-04,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,New York Knicks,2021-04-05,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,Utah Jazz,2021-04-05,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Sacramento Kings,2021-04-05,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Detroit Pistons,2021-04-05,basic - high - 25_more_games - monthly - 0,NBA,
San Antonio Spurs,Cleveland Cavaliers,2021-04-05,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Washington Wizards,2021-04-05,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Phoenix Suns,2021-04-05,basic - high - 25_more_games - monthly - 0,NBA,
Indiana Pacers,Chicago Bulls,2021-04-06,basic - high - 25_more_games - monthly - 0,NBA,
Atlanta Hawks,New Orleans Pelicans,2021-04-06,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Philadelphia 76ers,2021-04-06,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Los Angeles Lakers,2021-04-06,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Memphis Grizzlies,2021-04-06,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Detroit Pistons,2021-04-06,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Milwaukee Bucks,2021-04-06,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Portland Trail Blazers,2021-04-06,basic - high - 25_more_games - monthly - 0,NBA,
Indiana Pacers,Minnesota Timberwolves,2021-04-07,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Washington Wizards,2021-04-07,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,New York Knicks,2021-04-07,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,New Orleans Pelicans,2021-04-07,basic - high - 25_more_games - monthly - 0,NBA,
Atlanta Hawks,Memphis Grizzlies,2021-05-23,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Dallas Mavericks,2021-03-04,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Charlotte Hornets,2021-04-07,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,San Antonio Spurs,2021-04-07,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Utah Jazz,2021-04-07,basic - high - 25_more_games - monthly - 0,NBA,
Miami Heat,Los Angeles Lakers,2021-04-08,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Chicago Bulls,2021-04-08,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Cleveland Cavaliers,2021-04-08,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,Milwaukee Bucks,2021-04-08,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Phoenix Suns,2021-04-08,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Detroit Pistons,2021-04-08,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Portland Trail Blazers,2021-04-08,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Indiana Pacers,2021-04-09,basic - high - 25_more_games - monthly - 0,NBA,
Boston Celtics,Minnesota Timberwolves,2021-04-09,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Memphis Grizzlies,2021-04-09,basic - high - 25_more_games - monthly - 0,NBA,
Atlanta Hawks,Chicago Bulls,2021-04-09,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Philadelphia 76ers,2021-04-09,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,San Antonio Spurs,2021-04-09,basic - high - 25_more_games - monthly - 0,NBA,
Milwaukee Bucks,Charlotte Hornets,2021-04-09,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Washington Wizards,2021-04-09,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Houston Rockets,2021-04-09,basic - high - 25_more_games - monthly - 0,NBA,
Cleveland Cavaliers,Toronto Raptors,2021-04-10,basic - high - 25_more_games - monthly - 0,NBA,
Brooklyn Nets,Los Angeles Lakers,2021-05-18,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Philadelphia 76ers,2021-04-10,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Sacramento Kings,2021-05-25,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Houston Rockets,2021-04-10,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Washington Wizards,2021-05-23,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Detroit Pistons,2021-05-23,basic - high - 25_more_games - monthly - 0,NBA,
Charlotte Hornets,Atlanta Hawks,2021-04-11,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Boston Celtics,2021-04-11,basic - high - 25_more_games - monthly - 0,NBA,
Cleveland Cavaliers,New Orleans Pelicans,2021-04-11,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,Milwaukee Bucks,2021-04-11,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,San Antonio Spurs,2021-04-11,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Indiana Pacers,2021-04-11,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Chicago Bulls,2021-04-11,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Toronto Raptors,2021-04-11,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Clippers,Detroit Pistons,2021-04-11,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Miami Heat,2021-04-11,basic - high - 25_more_games - monthly - 0,NBA,
Dallas Mavericks,Philadelphia 76ers,2021-04-12,basic - high - 25_more_games - monthly - 0,NBA,
New York Knicks,Los Angeles Lakers,2021-04-12,basic - high - 25_more_games - monthly - 0,NBA,
Orlando Magic,San Antonio Spurs,2021-04-12,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Chicago Bulls,2021-04-12,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,Sacramento Kings,2021-04-12,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Washington Wizards,2021-04-12,basic - high - 25_more_games - monthly - 0,NBA,
Golden State Warriors,Denver Nuggets,2021-04-12,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Houston Rockets,2021-04-12,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Brooklyn Nets,2021-04-13,basic - high - 25_more_games - monthly - 0,NBA,
Indiana Pacers,Los Angeles Clippers,2021-04-13,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,Atlanta Hawks,2021-04-13,basic - high - 25_more_games - monthly - 0,NBA,
Charlotte Hornets,Los Angeles Lakers,2021-04-13,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Oklahoma City Thunder,2021-04-13,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Miami Heat,2021-04-13,basic - high - 25_more_games - monthly - 0,NBA,
Portland Trail Blazers,Boston Celtics,2021-04-13,basic - high - 25_more_games - monthly - 0,NBA,
Minnesota Timberwolves,Milwaukee Bucks,2021-04-14,basic - high - 25_more_games - monthly - 0,NBA,
Charlotte Hornets,Cleveland Cavaliers,2021-04-14,basic - high - 25_more_games - monthly - 0,NBA,
Philadelphia 76ers,Brooklyn Nets,2021-04-14,basic - high - 25_more_games - monthly - 0,NBA,
Toronto Raptors,San Antonio Spurs,2021-04-14,basic - high - 25_more_games - monthly - 0,NBA,
Chicago Bulls,Orlando Magic,2021-04-14,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,Los Angeles Clippers,2021-04-14,basic - high - 25_more_games - monthly - 0,NBA,
New Orleans Pelicans,New York Knicks,2021-04-14,basic - high - 25_more_games - monthly - 0,NBA,
Houston Rockets,Indiana Pacers,2021-05-20,basic - high - 25_more_games - monthly - 0,NBA,
Oklahoma City Thunder,Golden State Warriors,2021-04-14,basic - high - 25_more_games - monthly - 0,NBA,
Memphis Grizzlies,Dallas Mavericks,2021-04-14,basic - high - 25_more_games - monthly - 0,NBA,
Denver Nuggets,Miami Heat,2021-04-14,basic - high - 25_more_games - monthly - 0,NBA,
Sacramento Kings,Washington Wizards,2021-04-14,basic - high - 25_more_games - monthly - 0,NBA,
Atlanta Hawks,Milwaukee Bucks,2021-04-15,basic - high - 25_more_games - monthly - 0,NBA,
Cleveland Cavaliers,Golden State Warriors,2021-04-15,basic - high - 25_more_games - monthly - 0,NBA,
Los Angeles Lakers,Boston Celtics,2021-04-15,basic - high - 25_more_games - monthly - 0,NBA,
Phoenix Suns,Sacramento Kings,2021-04-15,basic - high - 25_more_games - monthly - 0,NBA,
Utah Jazz,Indiana Pacers,2021-04-16,basic - high - 25_more_games - monthly - 0,NBA,
Detroit Pistons,Oklahoma City Thunder,2021-04-16,basic - high - 25_more_games - monthly - 0,NBA,
